,manufacturerTitle,avg_retailer_price,avg_manufacturer_price,price_variation,availability_rate,price_variation_rate,price_difference,max_price,min_price,num_unavailable
0,Calculadora de Mesa MV4122 com Visor 12 Digítos Elgin,31.896551724137932,26.73,5.16655172413793,1.0,0.19328663389966066,5.16655172413793,32.9,29.99,0
1,Carregador de Pilhas USB Elgin com Cabo Alim 5V 1A,104.81758620689655,142.84,-38.02241379310346,1.0,0.2661888392124296,-38.02241379310346,119.99,99.99,0
2,Cervejeira Consul Cor Titanium com 82L Display Na Porta Controle de Temperatura CZD12AT 110V,2375.7042857142856,2499.0,-123.29571428571451,0.7241379310344828,0.04956439718744644,-123.29571428571451,2499.99,2149.99,192
3,Cervejeira Consul Cor Titanium com 82L Display Na Porta Controle de Temperatura CZD12AT 220V,2375.2073913043478,2318.0,57.20739130434761,0.8214285714285714,0.04696571257080689,57.20739130434761,2499.99,2149.99,145
4,Cooktop 4 bocas Brastemp com Grades Piatina e Acendimento Automático - BDD61AE Bivolt,588.99,699.0,-110.00999999999999,0.9310344827586207,0.15738197424892703,-110.00999999999999,678.99,549.99,54
5,Cooktop A Gás Consul 5 Bocas com Vidro Temperado Preto e Acendimento Super Automático Controle Fácil CD075AE Bivolt,577.7677777777778,669.0,-91.23222222222222,0.9310344827586207,0.13637103471184187,-91.23222222222222,649.99,479.99,54
6,Cooktop Consul 4 Bocas com Grades Individuais Esmaltadas e Acendimento Automático Controle Fácil CD060AE Bivolt,489.99,529.0,-39.00999999999999,0.35714285714285715,0.07374291115311907,-39.00999999999999,499.99,439.99,180
7,FOGÃO BRASTEMP 5 BOCAS BRANCO COM TURBO CHAMA Bivolt,2099.99,2199.0,-99.01000000000022,0.9655172413793104,0.0450250113688041,-99.01000000000022,2099.99,2099.99,47
8,FOGÃO BRASTEMP 5 BOCAS COR INOX COM BOTÕES REMOVÍVEIS E EXCLUSIVO ARO PROTETOR Bivolt,2105.4124137931035,1749.0,356.41241379310327,1.0,0.20378068255752047,356.41241379310327,2148.99,2039.99,0
9,FOGÃO BRASTEMP 6 BOCAS BRANCO COM BOTÕES REMOVÍVEIS E EXCLUSIVO ARO PROTETOR Bivolt,2013.7691666666665,1789.0,224.76916666666656,0.42857142857142855,0.1256395565492826,224.76916666666656,2265.34,1799.99,240
10,Fogão 4 bocas Preto Com Mesa de Vidro- BIVOLT - CFO4VAE,1429.8218518518518,1549.0,-119.17814814814814,1.0,0.07693876575090261,-119.17814814814814,1548.99,1379.99,0
11,Fogão 5 Bocas Preto com Mesa de Vidro- BIVOLT - CFS5VAE,1987.0354545454545,2099.0,-111.9645454545455,0.8148148148148148,0.05334185109792545,-111.9645454545455,2098.99,1849.99,110
12,Fogão Brastemp 5 Bocas Preto com Trurbo Chama com Mesa de Vidro BFS5VCE Bivolt,2184.434444444444,2499.0,-314.5655555555558,0.6206896551724138,0.12587657285136286,-314.5655555555558,2359.99,2049.99,198
13,Fogão Consul 4 Bocas Branco com Acendimento Automático Design Frente Única CFO4NAB Bivolt,965.8520689655172,1179.0,-213.1479310344828,1.0,0.18078704922347988,-213.1479310344828,999.99,879.99,0
14,Fogão Consul 4 Bocas Inox com Acendimento Automático Design Frente Única CFO4NAR Bivolt,1231.5328571428572,1379.0,-147.46714285714282,1.0,0.1069377395628302,-147.46714285714282,1238.99,1228.99,0
15,Fogão Consul 4 Bocas Inox com Trempe de Ferro Fundido com Mesa de Vidro CFO4VAR Bivolt,1555.5417241379312,1599.0,-43.45827586206895,1.0,0.027178408919367705,-43.45827586206895,1598.99,1499.99,0
16,Fogão Consul 5 Bocas Inox com Trempe de Ferro Fundido com Mesa de Vidro CFS5VAR Bivolt,1947.9066666666668,1999.0,-51.09333333333332,0.8571428571428571,0.025724528931132227,-51.09333333333332,1999.99,1899.99,124
17,Forno Elétrico 10L Elgin 127V,237.9,239.9,-2.0,0.03571428571428571,0.008336807002917883,-2.0,237.9,237.9,27
18,Forno a Gás de Embutir Consul - COA84BR 220V,1583.2492592592591,1799.0,-215.75074074074075,0.9310344827586207,0.1199281493834023,-215.75074074074075,1699.99,1449.99,54
19,Forno de Embutir A Gás Brastemp 78 Litros Preto com Grill Timer Touch BOA84AE 220V,1768.5614285714285,1899.0,-130.43857142857144,1.0,0.07335063567291056,-130.43857142857144,1929.99,1549.99,0
20,Forno de Embutir Elétrico Consul 84 Litros Prata com Grill e Timer Autodesligamento Alta Capacidade COB84AR 220V,1801.3860714285713,1829.0,-27.613928571428563,1.0,0.05063129735218308,-27.613928571428563,1898.99,1549.99,0
21,Geladeira Brastemp Frost Free 443L Cor Inox com Turbo Ice Inverse BRE57AK 110V,4768.11,4899.0,-130.89000000000033,0.03571428571428571,0.026717697489283595,-130.89000000000033,4768.11,4768.11,27
22,Geladeira Brastemp Frost Free 443L Cor Inox com Turbo Ice Inverse BRE57AK 220V,4847.205555555555,4628.0,219.2055555555554,0.32142857142857145,0.0999925573801978,219.2055555555554,5066.41,4079.99,209
23,Geladeira Brastemp Frost Free Duplex 375L Cor Branca com Compartimento Extrafrio Fresh Zone BRM44HB 110V,2837.060357142857,3049.0,-211.93964285714304,1.0,0.06951119805088324,-211.93964285714304,2939.99,2699.99,0
24,Geladeira Brastemp Frost Free Duplex 375L Cor Branca com Compartimento Extrafrio Fresh Zone BRM44HB 220V,2847.506551724138,2938.0,-90.49344827586226,1.0,0.03126816271918501,-90.49344827586226,2939.99,2699.99,0
25,Geladeira Brastemp Frost Free Duplex 375L Cor Branca com Espaço Adapt Painel Eletrônico BRM45HB 110V,3290.831666666667,3349.0,-58.16833333333337,0.20689655172413793,0.017368866328257203,-58.16833333333337,3349.0,2999.99,138
26,Geladeira Brastemp Frost Free Duplex 375L Cor Inox com Compartimento Extrafrio Fresh Zone BRM44HK 110V,3175.3499999999995,3349.0,-173.6500000000002,0.8620689655172413,0.05185129889519265,-173.6500000000002,3299.99,2999.99,172
27,Geladeira Brastemp Frost Free Duplex 375L Cor Inox com Compartimento Extrafrio Fresh Zone BRM44HK 220V,3171.748620689655,3138.0,33.74862068965495,1.0,0.029788905738335383,33.74862068965495,3299.99,2999.99,0
28,Geladeira Brastemp Frost Free Duplex 400L Cor Branca com Painel Eltrônico Freeze Control BRM54HB 110V,3499.99,3449.0,50.98999999999978,0.1111111111111111,0.01478399536097413,50.98999999999978,3499.99,3499.99,72
29,Geladeira Brastemp Frost Free Duplex 400L Cor Branca com Painel Eltrônico Freeze Control BRM54HB 220V,3504.5971428571424,3448.0,56.597142857142636,1.0,0.016415727543917763,56.597142857142636,3548.99,3447.99,0
30,Geladeira Brastemp Inverse 3 Frost Free 419 litros cor Inox com Freeze Control Pro 110V,7041.061428571429,7199.0,-157.93857142857163,1.0,0.06822366201654992,-157.93857142857163,7509.99,6499.99,0
31,Geladeira Brastemp Inverse 3 Frost Free 419 litros cor Inox com Freeze Control Pro 220V,7285.5455555555545,5598.0,1687.5455555555548,0.6206896551724138,0.3014550831646222,1687.5455555555548,7509.99,6499.99,198
32,Geladeira Brastemp Inverse 4 Frost Free 543 litros cor Inox com Convertible Space 110V,16070.827142857144,16699.0,-628.1728571428567,1.0,0.05685845174646903,-628.1728571428567,16998.99,14999.99,0
33,Geladeira Brastemp Inverse 4 Frost Free 543 litros cor Inox com Convertible Space 220V,15266.523333333333,17099.0,-1832.4766666666671,0.5357142857142857,0.10716864533988345,-1832.4766666666671,16998.99,14999.99,195
34,Geladeira Consul Frost Free Duplex 386L Cor Branca com Altura Flex Prateleiras Ajustáveis CRM43NB 110V,2891.24,2949.0,-57.76000000000022,0.5925925925925926,0.05213631739572736,-57.76000000000022,3044.99,2699.99,176
35,Geladeira Consul Frost Free Duplex 386L Cor Branca com Altura Flex Prateleiras Ajustáveis CRM43NB 220V,2834.0525,2928.0,-93.94750000000022,0.5517241379310345,0.03708034494535527,-93.94750000000022,3044.99,2699.99,208
